2017-06-01,01:00:00,(na),(na),0.00,(na),(na)
2017-06-01,02:00:00,(na),(na),0.00,(na),(na)
2017-06-01,03:00:00,(na),(na),0.00,(na),(na)
2017-06-01,04:00:00,(na),(na),0.00,(na),(na)
2017-06-01,04:56:05,0,0.00,(na),0.0,0
2017-06-01,04:57:04,0,0.00,(na),0.0,0
2017-06-01,05:00:00,(na),(na),0.00,(na),(na)
2017-06-01,06:00:00,(na),(na),0.00,(na),(na)
2017-06-01,07:00:00,(na),(na),0.00,(na),(na)
2017-06-01,08:00:00,(na),(na),0.00,(na),(na)
2017-06-01,08:32:05,0,0.00,(na),0.0,0
2017-06-01,08:33:04,0,0.00,(na),0.0,0
2017-06-01,09:00:00,(na),(na),0.00,(na),(na)
2017-06-01,10:00:00,(na),(na),0.00,(na),(na)
2017-06-01,11:00:00,(na),(na),0.00,(na),(na)
2017-06-01,11:09:05,0,0.00,(na),0.0,0
2017-06-01,11:10:04,0,0.00,(na),0.0,0
2017-06-01,12:00:00,(na),(na),0.00,(na),(na)
2017-06-01,12:59:05,0,0.00,(na),0.0,0
2017-06-01,13:00:00,(na),(na),0.00,(na),(na)
2017-06-01,13:00:04,0,0.00,(na),0.0,0
2017-06-01,14:00:00,(na),(na),0.00,(na),(na)
2017-06-01,14:51:05,0,0.00,(na),0.0,0
2017-06-01,14:52:04,0,0.00,(na),0.0,0
2017-06-01,15:00:00,(na),(na),0.00,(na),(na)
2017-06-01,16:00:00,(na),(na),0.00,(na),(na)
2017-06-01,16:12:05,0,0.00,(na),0.0,0
2017-06-01,16:13:04,0,0.00,(na),0.0,0
2017-06-01,17:00:00,(na),(na),0.00,(na),(na)
2017-06-01,17:59:05,0,0.00,(na),0.0,0
2017-06-01,18:00:00,(na),(na),0.00,(na),(na)
2017-06-01,18:00:04,0,0.00,(na),0.0,0
2017-06-01,19:00:00,(na),(na),0.00,(na),(na)
2017-06-01,20:00:00,(na),(na),0.00,(na),(na)
2017-06-01,21:00:00,(na),(na),0.00,(na),(na)
2017-06-01,22:00:00,(na),(na),0.00,(na),(na)
2017-06-01,23:00:00,(na),(na),0.00,(na),(na)
2017-06-02,00:00:00,(na),(na),0.00,(na),(na)
2017-06-02,01:00:00,(na),(na),0.00,(na),(na)
2017-06-02,02:00:00,(na),(na),0.00,(na),(na)
2017-06-02,03:00:00,(na),(na),0.00,(na),(na)
2017-06-02,04:00:00,(na),(na),0.00,(na),(na)
2017-06-02,05:00:00,(na),(na),0.00,(na),(na)
2017-06-02,06:00:00,(na),(na),0.00,(na),(na)
